index,Municipio,casos,lat,lon,data
1,Canoas,2,-29.92,-51.18,04/08/2022
2,Caxias do Sul,2,-29.167.778,-51.178.889,04/08/2022
3,Garibaldi,1,-29.255.833,-51.533.889,04/08/2022
4,Igrejinha,1,-29.573.889,-50.79,04/08/2022
5,Porto Alegre,5,-30.032.778,-51.23,04/08/2022
6,Uruguaiana,1,-29.755,-57.087.778,04/08/2022
7,Viamão,2,-30.080.833,-51.022.778,04/08/2022
8,Esteio,1,-29.860.833,-51.178.889,04/08/2022
9,Novo Hamburgo,1,-29.677.778,-51.130.833,04/08/2022
10,Passo Fundo,1,-28.262.778,-52.406.944,04/08/2022
11,São Marcos,1,-28.970.833,-51.067.778,04/08/2022
12,Canoas,2,-29.92,-51.18,05/08/2022
13,Caxias do Sul,2,-29.167.778,-51.178.889,05/08/2022
14,Garibaldi,1,-29.255.833,-51.533.889,05/08/2022
15,Igrejinha,1,-29.573.889,-50.79,05/08/2022
16,Porto Alegre,5,-30.032.778,-51.23,05/08/2022
17,Uruguaiana,1,-29.755,-57.087.778,05/08/2022
18,Viamão,3,-30.080.833,-51.022.778,05/08/2022
19,Esteio,1,-29.860.833,-51.178.889,05/08/2022
20,Novo Hamburgo,1,-29.677.778,-51.130.833,05/08/2022
21,Passo Fundo,1,-28.262.778,-52.406.944,05/08/2022
22,São Marcos,1,-28.970.833,-51.067.778,05/08/2022
23,Canoas,2,-29.92,-51.18,08/08/2022
24,Caxias do Sul,2,-29.167.778,-51.178.889,08/08/2022
25,Garibaldi,1,-29.255.833,-51.533.889,08/08/2022
26,Igrejinha,1,-29.573.889,-50.79,08/08/2022
27,Porto Alegre,5,-30.032.778,-51.23,08/08/2022
28,Uruguaiana,1,-29.755,-57.087.778,08/08/2022
29,Viamão,3,-30.080.833,-51.022.778,08/08/2022
30,Esteio,1,-29.860.833,-51.178.889,08/08/2022
31,Novo Hamburgo,2,-29.677.778,-51.130.833,08/08/2022
32,Passo Fundo,1,-28.262.778,-52.406.944,08/08/2022
33,São Marcos,1,-28.970.833,-51.067.778,08/08/2022
34,Canoas,2,-29.92,-51.18,09/08/2022
35,Caxias do Sul,3,-29.167.778,-51.178.889,09/08/2022
36,Garibaldi,1,-29.255.833,-51.533.889,09/08/2022
37,Igrejinha,2,-29.573.889,-50.79,09/08/2022
38,Porto Alegre,8,-30.032.778,-51.23,09/08/2022
39,Uruguaiana,1,-29.755,-57.087.778,09/08/2022
40,Viamão,3,-30.080.833,-51.022.778,09/08/2022
41,Esteio,1,-29.860.833,-51.178.889,09/08/2022
42,Novo Hamburgo,2,-29.677.778,-51.130.833,09/08/2022
43,Passo Fundo,1,-28.262.778,-52.406.944,09/08/2022
44,São Marcos,1,-28.970.833,-51.067.778,09/08/2022
45,Campo Bom,1,-29.678.889,-51.052.778,09/08/2022
46,Montenegro,1,-29.688.889,-51.460.833,09/08/2022
47,Santo Ângelo,1,-28.298.889,-54.262.778,09/08/2022
48,Canoas,2,-29.92,-51.18,10/08/2022
49,Caxias do Sul,3,-29.167.778,-51.178.889,10/08/2022
50,Garibaldi,1,-29.255.833,-51.533.889,10/08/2022
51,Igrejinha,2,-29.573.889,-50.79,10/08/2022
52,Porto Alegre,9,-30.032.778,-51.23,10/08/2022
53,Uruguaiana,1,-29.755,-57.087.778,10/08/2022
54,Viamão,3,-30.080.833,-51.022.778,10/08/2022
55,Esteio,1,-29.860.833,-51.178.889,10/08/2022
56,Novo Hamburgo,2,-29.677.778,-51.130.833,10/08/2022
57,Passo Fundo,1,-28.262.778,-52.406.944,10/08/2022
58,São Marcos,1,-28.970.833,-51.067.778,10/08/2022
59,Campo Bom,1,-29.678.889,-51.052.778,10/08/2022
60,Santo Ângelo,1,-28.298.889,-54.262.778,10/08/2022
61,Canoas,3,-29.92,-51.18,11/08/2022
62,Caxias do Sul,3,-29.167.778,-51.178.889,11/08/2022
63,Garibaldi,1,-29.255.833,-51.533.889,11/08/2022
64,Igrejinha,2,-29.573.889,-50.79,11/08/2022
65,Porto Alegre,9,-30.032.778,-51.23,11/08/2022
66,Uruguaiana,2,-29.755,-57.087.778,11/08/2022
